Journal,Classification
Neuro-Oncology Practice,Medicine (miscellaneous)
Physical Review D,Nuclear and High Energy Physics
Physical Review D,Nuclear and High Energy Physics
Physical Review D,Physics and Astronomy (miscellaneous)
Physical Review D,Nuclear and High Energy Physics
Physical Review D,Nuclear and High Energy Physics
Physical Review D,Nuclear and High Energy Physics
Physical Review D,Nuclear and High Energy Physics
Physical Review D,Nuclear and High Energy Physics
Physical Review D,Nuclear and High Energy Physics
Physical Review D,Physics and Astronomy (miscellaneous)
Physical Review D,Physics and Astronomy (miscellaneous)
Physical Review D,Nuclear and High Energy Physics
Current Topics in Medicinal Chemistry,Drug Discovery
Current Topics in Medicinal Chemistry,Drug Discovery
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Journal of the Medical Association of Thailand,General Medicine
Cornea,Ophthalmology
Cornea,Ophthalmology
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Journal of High Energy Physics,Nuclear and High Energy Physics
Thai Journal of Veterinary Medicine,General Veterinary
Thai Journal of Veterinary Medicine,General Veterinary
Thai Journal of Veterinary Medicine,General Veterinary
Thai Journal of Veterinary Medicine,General Veterinary
Thai Journal of Veterinary Medicine,General Veterinary
Thai Journal of Veterinary Medicine,General Veterinary
Thai Journal of Veterinary Medicine,General Veterinary
Thai Journal of Veterinary Medicine,General Veterinary
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",Nuclear and High Energy Physics
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",Nuclear and High Energy Physics
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",Nuclear and High Energy Physics
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",Nuclear and High Energy Physics
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",Nuclear and High Energy Physics
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",Nuclear and High Energy Physics
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",Nuclear and High Energy Physics
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",Nuclear and High Energy Physics
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",Nuclear and High Energy Physics
Research on Chemical Intermediates,General Chemistry
Research on Chemical Intermediates,General Chemistry
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Engineering Journal,General Engineering
Malaysian Journal of Consumer and Family Economics,General Economics
Frontiers in Artificial Intelligence and Applications,Artificial Intelligence
Personality and Individual Differences,General Psychology
Evidence-based Complementary and Alternative Medicine,Complementary and Alternative Medicine
Kasetsart Journal of Social Sciences,General Social Sciences
Kasetsart Journal of Social Sciences,General Social Sciences
Kasetsart Journal of Social Sciences,General Social Sciences
Kasetsart Journal of Social Sciences,General Social Sciences
Kasetsart Journal of Social Sciences,General Social Sciences
Kasetsart Journal of Social Sciences,General Social Sciences
Kasetsart Journal of Social Sciences,General Social Sciences
Journal of Natural Medicines,Molecular Medicine
Journal of Natural Medicines,Molecular Medicine
Journal of Natural Medicines,Molecular Medicine
Tripodos,Communication
Clinical Interventions in Aging,Geriatrics and Gerontology
Clinical Interventions in Aging,Geriatrics and Gerontology
Data in Brief,Multidisciplinary
Lecture Notes in Engineering and Computer Science,Computer Science (miscellaneous)
Lecture Notes in Engineering and Computer Science,Computer Science (miscellaneous)
Animal Science Journal,General Agricultural and Biological Sciences
Chemical Engineering Transactions,General Chemical Engineering
Chemical Engineering Transactions,General Chemical Engineering
Chemical Engineering Transactions,General Chemical Engineering
Chemical Engineering Transactions,General Chemical Engineering
Chemical Engineering Transactions,General Chemical Engineering
Chemical Engineering Transactions,General Chemical Engineering
Chemical Engineering Transactions,General Chemical Engineering
Cardiac and Vascular Biology,Cardiology and Cardiovascular Medicine
Journal of Periodontology,Periodontics
Journal of Periodontology,Periodontics
Journal of Periodontology,Periodontics
Journal of Periodontology,Periodontics
Journal of Periodontology,Periodontics
Journal of Periodontology,Periodontics
Ukrainian Journal of Physical Optics,Atomic and Molecular Physics
Indian Journal of Pharmaceutical Sciences,Pharmaceutical Science
Physical Review Letters,General Physics and Astronomy
Physical Review Letters,General Physics and Astronomy
Physical Review Letters,General Physics and Astronomy
Physical Review Letters,General Physics and Astronomy
Physical Review Letters,General Physics and Astronomy
Physical Review Letters,General Physics and Astronomy
Physical Review Letters,General Physics and Astronomy
Physical Review Letters,General Physics and Astronomy
Physical Review Letters,General Physics and Astronomy
Ecology,Ecology
International Food Research Journal,Food Science
International Food Research Journal,Food Science
Open Medicine (Poland),General Medicine
Journal of Dentistry,General Dentistry
Proceedings of the National Academy of Sciences of the United States of America,Multidisciplinary
Proceedings of the National Academy of Sciences of the United States of America,Multidisciplinary
Proceedings of the National Academy of Sciences of the United States of America,Multidisciplinary
Proceedings of the National Academy of Sciences of the United States of America,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
Scientific Reports,Multidisciplinary
International Journal of Older People Nursing,Gerontology
LWT,Food Science
Renewable Energy,Renewable Energy
Renewable Energy,Renewable Energy
Renewable Energy,Renewable Energy
Renewable Energy,Renewable Energy
Asian Biomedicine,General Biochemistry
Asian Biomedicine,General Biochemistry
Asian Biomedicine,General Biochemistry
Asian Biomedicine,General Biochemistry
Asian Biomedicine,General Biochemistry
Asian Biomedicine,General Biochemistry
Cataloging and Classification Quarterly,Library and Information Sciences
Brain,Neurology (clinical)
Asian-European Journal of Mathematics,General Mathematics
Asian-European Journal of Mathematics,General Mathematics
BMEiCON 2019 - 12th Biomedical Engineering International Conference,Biomedical Engineering
Asian Journal of Sports Medicine,Orthopedics and Sports Medicine
Journal of Drug Delivery Science and Technology,Pharmaceutical Science
Journal of Drug Delivery Science and Technology,Pharmaceutical Science
Microchimica Acta,Analytical Chemistry
Microchimica Acta,Analytical Chemistry
Annals of Laparoscopic and Endoscopic Surgery,Surgery
Walailak Journal of Science and Technology,Multidisciplinary
Walailak Journal of Science and Technology,Multidisciplinary
Marine Drugs,Drug Discovery
Marine Drugs,Drug Discovery
Journal of Physics: Conference Series,General Physics and Astronomy
Journal of Physics: Conference Series,General Physics and Astronomy
Journal of Physics: Conference Series,General Physics and Astronomy
Journal of Physics: Conference Series,General Physics and Astronomy
Journal of Physics: Conference Series,General Physics and Astronomy
Journal of Physics: Conference Series,General Physics and Astronomy
Journal of Physics: Conference Series,General Physics and Astronomy
Journal of Physics: Conference Series,General Physics and Astronomy
Journal of Physics: Conference Series,General Physics and Astronomy
Journal of Physics: Conference Series,General Physics and Astronomy
Journal of Physics: Conference Series,General Physics and Astronomy
Journal of Physics: Conference Series,General Physics and Astronomy
Frontiers in Psychology,General Psychology
Frontiers in Psychology,General Psychology
Frontiers in Psychology,General Psychology
Journal of investigative and clinical dentistry,General Dentistry
Heliyon,Multidisciplinary
Heliyon,Multidisciplinary
Heliyon,Multidisciplinary
Heliyon,Multidisciplinary
Heliyon,Multidisciplinary
Heliyon,Multidisciplinary
Heliyon,Multidisciplinary
Heliyon,Multidisciplinary
Heliyon,Multidisciplinary
Heliyon,Multidisciplinary
Heliyon,Multidisciplinary
The Lancet Respiratory Medicine,Pulmonary and Respiratory Medicine
Journal of Social Marketing,Marketing
Annals of Hematology,Hematology
Journal of Dermatological Treatment,Dermatology
Journal of Clinical Investigation,General Medicine
Journal of Medical Economics,Health Policy
Journal of Arthroplasty,Orthopedics and Sports Medicine
Journal of Clinical and Aesthetic Dermatology,Dermatology
Health Services Research,Health Policy
Journal of Musculoskeletal Research,Orthopedics and Sports Medicine
Clinical Nephrology,Nephrology
AIP Advances,General Physics and Astronomy
AIP Advances,General Physics and Astronomy
AIP Advances,General Physics and Astronomy
SAGE Open Medicine,General Medicine
SAGE Open Medicine,General Medicine
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
Journal of Medical Sciences (Taiwan),General Medicine
SAGE Open Nursing,General Nursing
AIP Conference Proceedings,General Physics and Astronomy
AIP Conference Proceedings,General Physics and Astronomy
International Endodontic Journal,General Dentistry
International Endodontic Journal,General Dentistry
Regional Anesthesia and Pain Medicine,Anesthesiology and Pain Medicine
Dalton Transactions,Inorganic Chemistry
Dalton Transactions,Inorganic Chemistry
International Journal of Oral and Maxillofacial Implants,Oral Surgery
Journal of GeoEngineering,Geotechnical Engineering and Engineering Geology
Asian Herpetological Research,Animal Science and Zoology
Clinical and Basic Neurogastroenterology and Motility,General Medicine
Journal of Ayub Medical College,General Medicine
"Encyclopedia of Gastroenterology, Second Edition",General Medicine
BMJ Case Reports,General Medicine
BMJ Case Reports,General Medicine
Diseases of the Colon and Rectum,Gastroenterology
Journal of Reproduction and Development,Animal Science and Zoology
Belitung Nursing Journal,General Nursing
Belitung Nursing Journal,General Nursing
Belitung Nursing Journal,General Nursing
Belitung Nursing Journal,General Nursing
Advances in Civil Engineering,Civil and Structural Engineering
Asia-Pacific Journal of Ophthalmology,Ophthalmology
Dentomaxillofacial Radiology,General Medicine
Open Psychology Journal,General Psychology
Clinical Ophthalmology,Ophthalmology
Clinical Ophthalmology,Ophthalmology
Clinical Ophthalmology,Ophthalmology
BMC Veterinary Research,General Veterinary
BMC Veterinary Research,General Veterinary
BMC Veterinary Research,General Veterinary
Journal of Veterinary Medicine Series C: Anatomia Histologia Embryologia,General Veterinary
Journal of Obstetrics and Gynaecology,Obstetrics and Gynecology
ISACA Journal,Control and Systems Engineering
American Journal of Hematology,Hematology
Pathology,Pathology and Forensic Medicine
Environmental Engineering Research,Environmental Engineering
Environmental Engineering Research,Environmental Engineering
REBT with Diverse Client Problems and Populations,General Psychology
Sustainable Bioenergy: Advances and Impacts,General Energy
Pacific Economic Review,Economics and Econometrics
BMC Pediatrics,Pediatrics
BMC Pediatrics,Pediatrics
Case Studies in Construction Materials,Materials Science (miscellaneous)
Case Studies in Construction Materials,Materials Science (miscellaneous)
Case Studies in Construction Materials,Materials Science (miscellaneous)
Blood Advances,Hematology
Blood Advances,Hematology
Blood Advances,Hematology
Blood Advances,Hematology
Insects,Insect Science
Medicine (United States),General Medicine
Corporate Governance (Bingley),Business
Corporate Governance (Bingley),Business
BMC Dermatology,Dermatology
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
Transplantation,Transplantation
Pediatric Research,Pediatrics
